Model,Best Params,Best CV Score,Train Accuracy,Train Precision,Train Recall,Train F1,Test Accuracy,Test Precision,Test Recall,Test F1
Random Forest,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",0.9952,1.0,1.0,1.0,1.0,0.9929,1.0,0.9728,0.9862
Logistic Regression,"{'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 500, 'C': 0.01}",0.7344,0.7309,0.2632,0.0167,0.0314,0.7345,0.4091,0.035,0.0645
